ID,HUMAN,INSTRUMENT
1,Parker caught the fish with the fishing pole,The fishing pole caught the fish
2,Parker beat the eggs with the whisk,The whisk beath the eggs
3,Riley cut the bread with the knife,The knife cut the bread 
4,Riley stirred the soup with the spoon,The spoon stirred the soup
5,Avery crushed the garlic with the pestle,The pestle crushed the garlic
6,Avery flattened the dough with the rolling pin,The rolling pin flattened the dough
7,Morgan painted the portrait with the brush,The brush painted the portrait
8,Morgan marked the paper with the pencil,The pencil marked the paper
9,Alex removed the mark with the eraser,The eraser removed the mark
10,Alex hit the ball with the racket,The racket hit the ball
11,Cameron chopped the firewood with the axe,The axe chopped the firewood
12,Cameron beheaded the knight with the sword,The sword beheaded the knight
13,Tyler tightened the bolt with the wrench,The wrench tightened the bol
14,Tyler broke the window with the rock,The rock broke the window
15,Pat swept the patio with the broom,The broom swept the patio
16,Pat gathered the leaves with the rake,The rake gathered the leaves
17,Taylor cleaned the counter with the rag,The rag cleaned the table
18,Taylor opened the safe with the key,The key opened the safe
19,Jordan moved the soil with the shovel,The shovel moved the dirt
20,Jordan illuminated the cave with the flashlight,The flashlight illuminated the cave
21,Jesse killed the bird with the gun,The gun killed the bird
22,Jesse cleaned the rug with the vacuum ,The vacuum cleaned the rug
23,Lee defrosted the meat with the microwave,The microwave defrosted the meat
24,Lee cooled the room with the air conditioner,The air conditioner cooled the room
25,Charlie cut the tree with the chainsaw,The chainsaw cut the tree
26,Charlie lifted the steel beams with the crane,The crane lifted the steel beams